"","drug_name","category1","category2"
"1331","chlorprothixene","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Anti-infection","Dopamine Receptor, Histamine Receptor, Bacterial"
"1332","nomifensine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1333","fluphenazine-decanoate","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1334","zuclopenthixol","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1335","droperidol","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1336","thiethylperazine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Anti-infection","Dopamine Receptor, Histamine Receptor, Bacterial, Amyloid-β"
"1337","halopemide","Metabolic Enzyme/Protease, Neuronal Signaling, GPCR/G Protein","Phospholipase, Dopamine Receptor"
"1338","l-745870","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1339","levosulpiride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1340","azaperone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1341","bromperidol","GPCR/G Protein, Neuronal Signaling, Anti-infection","Dopamine Receptor, Bacterial"
"1342","flunarizine","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein","Calcium Channel, Sodium Channel, Dopamine Receptor"
"1343","ngb-2904","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1344","gr-103691","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1345","thioproperazine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1346","bromopride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1347","pergolide","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1348","abt-724","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1349","bp-897","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1350","molindone","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1351","tiapride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1352","dihydrexidine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1353","lisuride","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1354","pnu-177864","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1355","etilevodopa","Neuronal Signaling, GPCR/G Protein, Metabolic Enzyme/Protease","Dopamine Receptor, Drug Metabolite"
"1356","fluphenazine","Membrane Transporter/Ion Channel, GPCR/G Protein, Neuronal Signaling, Anti-infection","Sodium Channel, Dopamine Receptor, SARS-CoV"
"1357","ropinirole","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1358","itopride","Neuronal Signaling, GPCR/G Protein, Anti-infection","Cholinesterase (ChE), Dopamine Receptor, Bacterial"
"1359","pd-168568","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1360","paopa","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1361","acetophenazine","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1362","fenoldopam","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1363","trimethobenzamide","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1364","talipexole","GPCR/G Protein, Neuronal Signaling","Dopamine Receptor"
"1365","bosentan","GPCR/G Protein","Endothelin Receptor"
"1366","ambrisentan","GPCR/G Protein","Endothelin Receptor"
"1367","bms-182874","GPCR/G Protein","Endothelin Receptor"
"1368","pd-156707","GPCR/G Protein","Endothelin Receptor"
"1369","bq-123","GPCR/G Protein","Endothelin Receptor"
"1370","bq-788","GPCR/G Protein","Endothelin Receptor"
"1371","act-132577","GPCR/G Protein","Endothelin Receptor"
"1372","darusentan","GPCR/G Protein","Endothelin Receptor"
"1373","irl-2500","GPCR/G Protein","Endothelin Receptor"
"1374","atrasentan","GPCR/G Protein","Endothelin Receptor"
"1375","tc-fpr-43","GPCR/G Protein","Formyl Peptide Receptor (FPR)"
"1376","tak-875","GPCR/G Protein","Free Fatty Acid Receptor"
"1377","gw-1100","GPCR/G Protein","Free Fatty Acid Receptor"
"1378","tug-891","GPCR/G Protein","Free Fatty Acid Receptor"
"1379","ah-7614","GPCR/G Protein","Free Fatty Acid Receptor"
"1380","4-cmtb","GPCR/G Protein","Free Fatty Acid Receptor"
"1381","vincamine","GPCR/G Protein","Free Fatty Acid Receptor"
"1382","tug-770","GPCR/G Protein","Free Fatty Acid Receptor"
"1383","gpr120-modulator-1","GPCR/G Protein","Free Fatty Acid Receptor"
"1384","amg-837","GPCR/G Protein","Free Fatty Acid Receptor"
"1385","triamterene","Membrane Transporter/Ion Channel, GPCR/G Protein","Sodium Channel, G protein-coupled Bile Acid Receptor 1"
"1386","gpbar-a","GPCR/G Protein","G protein-coupled Bile Acid Receptor 1"
"1387","tc-g-1005","GPCR/G Protein","G protein-coupled Bile Acid Receptor 1"
"1388","anamorelin","GPCR/G Protein","GHSR"
"1389","tc-g-1008","GPCR/G Protein","GHSR"
"1390","elagolix","GPCR/G Protein","GnRH Receptor"
"1391","abarelix","GPCR/G Protein","GnRH Receptor"
"1392","cetrorelix","GPCR/G Protein","GnRH Receptor"
"1393","mk-0354","GPCR/G Protein","GPR109A"
"1394","acifran","GPCR/G Protein","GPR109A"
"1395","mbx-2982","GPCR/G Protein, Neuronal Signaling","GPR119"
"1396","gsk1292263","GPCR/G Protein, Neuronal Signaling","GPR119"
"1397","apd668","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease, Membrane Transporter/Ion Channel","GPR119, Cytochrome P450, Potassium Channel"
"1398","2-oleoylglycerol","GPCR/G Protein, Neuronal Signaling","GPR119"
"1399","apd597","GPCR/G Protein, Neuronal Signaling","GPR119"
"1400","psn-375963","GPCR/G Protein, Neuronal Signaling","GPR119"
"1401","jnj-63533054","GPCR/G Protein, Neuronal Signaling","GPR139"
"1402","tc-o-9311","GPCR/G Protein, Neuronal Signaling","GPR139"
"1403","zaprinast","Metabolic Enzyme/Protease, GPCR/G Protein","Phosphodiesterase (PDE), GPR35"
"1404","cid-2745687","GPCR/G Protein","GPR35"
"1405","cid-16020046","GPCR/G Protein, Neuronal Signaling","GPR55"
"1406","histamine","Induced Disease Models Products, GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Metabolic Enzyme/Protease","Immunology and Inflammatory Disease Models, Digestive System Disease Models, Histamine Receptor, Endogenous Metabolite"
"1407","astemizole","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Membrane Transporter/Ion Channel","Histamine Receptor, Potassium Channel"
"1408","loratadine","Anti-infection, GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Dengue virus, Flavivirus, Histamine Receptor"
"1409","cimetidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Anti-infection","Histamine Receptor, Bacterial"
"1410","desloratadine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Metabolic Enzyme/Protease","Histamine Receptor, Endogenous Metabolite"
"1411","famotidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1412","jnj-7777120","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1413","ebastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1414","nedocromil","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor, Leukotriene Receptor, Prostaglandin Receptor"
"1415","pitolisant","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1416","dimenhydrinate","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1417","betazole","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1418","nizatidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1419","abt-239","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Membrane Transporter/Ion Channel","Histamine Receptor, TRP Channel"
"1420","tiotidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1421","vuf10460","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1422","bepotastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1423","carebastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Macrophage migration inhibitory factor (MIF), Histamine Receptor"
"1424","acrivastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1425","zaltidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1426","betahistine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1427","ebrotidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1428","azacyclonol","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1429","emedastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1430","diphenylpyraline","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1431","alcaftadine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1432","bilastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1433","epinastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1434","mizolastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1435","thioperamide","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1436","lafutidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1437","mianserin","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1438","hydroxyzine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1439","bavisant","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1440","clemastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1441","mecamylamine","Membrane Transporter/Ion Channel, Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein","nAChR, Histamine Receptor"
"1442","antazoline","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1443","brompheniramine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Membrane Transporter/Ion Channel","Histamine Receptor, mAChR, Potassium Channel, Sodium Channel, Calcium Channel"
"1444","levocetirizine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1445","triprolidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1446","phenindamine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1447","ici-162846","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1448","levocabastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Cytoskeleton","Histamine Receptor, Neurotensin Receptor, Integrin"
"1449","olopatadine","Metabolic Enzyme/Protease, Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein","Endogenous Metabolite, Histamine Receptor"
"1450","4-methylhistamine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1451","ketotifen","Metabolic Enzyme/Protease, Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein, Anti-infection","Endogenous Metabolite, Histamine Receptor, SARS-CoV, Influenza Virus"
"1452","methapyrilene","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor, mAChR"
"1453","buclizine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1454","clobenpropit","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1455","fexofenadine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1456","roxatidine-acetate","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1457","immepip","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1458","alimemazine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1459","a-987306","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1460","tecastemizole","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1461","ranitidine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Anti-infection, Metabolic Enzyme/Protease","Histamine Receptor, Bacterial, Cytochrome P450"
"1462","diphenhydramine","Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein, Metabolic Enzyme/Protease, Anti-infection","Histamine Receptor, Endogenous Metabolite, Bacterial"
"1463","tripelennamine","Neuronal Signaling, Immunology/Inflammation, GPCR/G Protein, Metabolic Enzyme/Protease","Histamine Receptor, Endogenous Metabolite"
"1464","ciproxifan","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1465","azelastine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Anti-infection","Histamine Receptor, SARS-CoV"
"1466","azatadine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1467","cetirizine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation","Histamine Receptor"
"1468","zafirlukast","GPCR/G Protein","Leukotriene Receptor"
"1469","pranlukast","GPCR/G Protein, Metabolic Enzyme/Protease","Leukotriene Receptor, Endogenous Metabolite"
"1470","mk-571","GPCR/G Protein","Leukotriene Receptor, LPL Receptor"
"1471","tomelukast","GPCR/G Protein","Leukotriene Receptor"
"1472","gsk2190915","Immunology/Inflammation, GPCR/G Protein","FLAP, Leukotriene Receptor"
"1473","ly255283","GPCR/G Protein","Leukotriene Receptor"
"1474","montelukast","GPCR/G Protein","Leukotriene Receptor"
"1475","veliflapon","Immunology/Inflammation, GPCR/G Protein","FLAP, Leukotriene Receptor"
"1476","ly223982","GPCR/G Protein","Leukotriene Receptor"
"1477","olsalazine","GPCR/G Protein, Anti-infection","Leukotriene Receptor, Antibiotic"
"1478","rev-5901","GPCR/G Protein, Metabolic Enzyme/Protease","Leukotriene Receptor, Lipoxygenase"
"1479","siponimod","GPCR/G Protein","LPL Receptor"
"1480","ozanimod","GPCR/G Protein","LPL Receptor"
"1481","bms-986020","GPCR/G Protein","LPL Receptor"
"1482","sew-2871","GPCR/G Protein, Stem Cell/Wnt, MAPK/ERK Pathway, PI3K/Akt/mTOR","LPL Receptor, ERK, Akt"
"1483","ponesimod","GPCR/G Protein","LPL Receptor"
"1484","ty-52156","GPCR/G Protein","LPL Receptor"
"1485","cym-5520","GPCR/G Protein","LPL Receptor"
"1486","cym-5541","GPCR/G Protein","LPL Receptor"
"1487","tc-lpa5-4","GPCR/G Protein","LPL Receptor"
"1488","lpa2-antagonist-1","GPCR/G Protein","LPL Receptor"
"1489","h2l-5765834","GPCR/G Protein","LPL Receptor"
"1490","ki16198","GPCR/G Protein","LPL Receptor"
"1491","s1p1-agonist-iii","GPCR/G Protein","LPL Receptor"
"1492","rp-001","GPCR/G Protein","LPL Receptor"
"1493","tc-sp-14","GPCR/G Protein","LPL Receptor"
"1494","atropine","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","mAChR, Endogenous Metabolite"
"1495","xanomeline","GPCR/G Protein, Neuronal Signaling","mAChR"
"1496","tropicamide","GPCR/G Protein, Neuronal Signaling","mAChR"
"1497","pilocarpine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1498","oxybutynin","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel","mAChR, Potassium Channel"
"1499","glycopyrrolate","GPCR/G Protein, Neuronal Signaling","mAChR"
"1500","gallamine-triethiodide","GPCR/G Protein, Neuronal Signaling","mAChR"
"1501","4-damp","GPCR/G Protein, Neuronal Signaling","mAChR"
"1502","otenzepad","GPCR/G Protein, Neuronal Signaling","mAChR"
"1503","tolterodine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1504","biperiden","GPCR/G Protein, Neuronal Signaling","mAChR"
"1505","rhc-80267","Metabolic Enzyme/Protease, Neuronal Signaling, GPCR/G Protein, Immunology/Inflammation","Acyltransferase, mAChR, COX, Phospholipase"
"1506","oxotremorine-sesquifumarate","GPCR/G Protein, Neuronal Signaling","mAChR"
"1507","imidafenacin","GPCR/G Protein, Neuronal Signaling","mAChR"
"1508","irsogladine","GPCR/G Protein, Neuronal Signaling, Metabolic Enzyme/Protease","mAChR, Phosphodiesterase (PDE)"
"1509","homatropine-methylbromide","GPCR/G Protein, Neuronal Signaling","mAChR"
"1510","anisodamine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1511","solifenacin-succinate","GPCR/G Protein, Neuronal Signaling","mAChR"
"1512","vu10010","GPCR/G Protein, Neuronal Signaling","mAChR"
"1513","pd-102807","GPCR/G Protein, Neuronal Signaling","mAChR"
"1514","fesoterodine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1515","aceclidine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1516","zamifenacin","GPCR/G Protein, Neuronal Signaling","mAChR"
"1517","pirenzepine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1518","piperidolate","GPCR/G Protein, Neuronal Signaling","mAChR"
"1519","darifenacin","GPCR/G Protein, Neuronal Signaling","mAChR"
"1520","bethanechol","GPCR/G Protein, Neuronal Signaling","mAChR"
"1521","tarafenacin","GPCR/G Protein, Neuronal Signaling","mAChR"
"1522","cevimeline","GPCR/G Protein, Neuronal Signaling","mAChR"
"1523","telenzepine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1524","propantheline","GPCR/G Protein, Neuronal Signaling","mAChR"
"1525","propiverine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1526","homatropine","GPCR/G Protein, Neuronal Signaling","mAChR"
"1527","flavoxate","Metabolic Enzyme/Protease, Neuronal Signaling, Membrane Transporter/Ion Channel, GPCR/G Protein","Phosphodiesterase (PDE), Calcium Channel, mAChR"
"1528","gw-803430","GPCR/G Protein, Neuronal Signaling","MCHR1 (GPR24)"
"1529","snap-94847","GPCR/G Protein, Neuronal Signaling","MCHR1 (GPR24)"
"1530","fenoprofen","GPCR/G Protein, Neuronal Signaling","Melanocortin Receptor"
"1531","bremelanotide","GPCR/G Protein, Neuronal Signaling","Melanocortin Receptor"
"1532","luzindole","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1533","4-p-pdot","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1534","ramelteon","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1535","2-iodomelatonin","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1536","tasimelteon","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1537","8-m-pdot","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1538","6-chloromelatonin","GPCR/G Protein, Neuronal Signaling","Melatonin Receptor"
"1539","camicinal","GPCR/G Protein","Motilin Receptor"
"1540","aprepitant","GPCR/G Protein, Neuronal Signaling, Anti-infection","Neurokinin Receptor, Bacterial, HIV, Antibiotic"
"1541","netupitant","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1542","fosaprepitant-dimeglumine","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1543","sb-222200","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1544","talnetant","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1545","maropitant","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1546","gr-159897","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1547","sdz-nkt-343","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1548","l-760735","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
"1549","sb-218795","GPCR/G Protein, Neuronal Signaling","Neurokinin Receptor"
